DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7911431;1;1;1;127.63299598;4
7911431;2;1;2;127.63299598;5
7911431;1;1;1;127.63299598;4
7911431;2;1;2;127.63299598;5
7911439;1;1;1;111.98771183;3
7911439;1;1;1;111.98771183;3
7911473;1;1;1;190.84187077;3
7911491;1;1;1;15.964955669;3
7911491;1;1;1;15.964955669;3
7911541;1;1;1;47.160064984;2
7911541;1;1;1;47.160064984;2
7911545;1;1;1;376.96642832;3
7911545;1;1;1;376.96642832;3
7911559;1;1;1;94.675708551;2
7911559;2;1;2;94.675708551;3
7911559;1;1;1;94.675708551;2
7911559;2;1;2;94.675708551;3
7911572;1;1;1;104.06640689;3
7911572;1;1;1;104.06640689;3
7911596;1;1;1;51.153813009;3
7911596;1;1;1;51.153813009;3
7911597;1;1;1;20.985065475;2
7911597;1;1;1;20.985065475;2
7911606;1;1;1;245.19127825;2
7911606;2;1;2;245.19127825;3
7911606;1;1;1;245.19127825;2
7911606;2;1;2;245.19127825;3
7911607;1;1;1;144.96114596;3
7911607;1;1;1;144.96114596;3
7911613;1;1;1;8.613773394;1
7911613;1;1;1;8.613773394;1
7911615;1;1;1;94.295805842;2
7911615;1;1;1;94.295805842;2
7911620;1;1;1;16.47124635;3
7911620;2;1;2;16.47124635;4
7911620;1;1;1;16.47124635;3
7911620;2;1;2;16.47124635;4
7911621;1;1;1;139.48756818;3
7911621;2;1;2;139.48756818;4
7911640;1;1;1;150.30896439;2
7911640;2;1;2;150.30896439;3
7911640;1;1;1;150.30896439;2
7911640;2;1;2;150.30896439;3
7911643;1;1;1;265.38090048;3
7911643;1;1;1;265.38090048;3
7911658;1;1;1;169.48797324;7
7911658;1;1;1;169.48797324;7
7911670;1;1;1;93.56545687;1
7911670;1;1;1;93.56545687;1
7911688;1;1;1;358.78254528;4
7911688;1;1;1;358.78254528;4
7911697;1;1;1;26.404872653;3
7911697;2;1;2;26.404872653;4
7911697;3;1;3;26.404872653;5
7911697;1;1;1;26.404872653;3
7911697;2;1;2;26.404872653;4
7911697;3;1;3;26.404872653;5
7911760;1;1;1;190.84187077;3
7911760;2;1;2;190.84187077;4
7911760;3;1;3;190.84187077;5
7911760;1;1;1;190.84187077;3
7911760;2;1;2;190.84187077;4
7911760;3;1;3;190.84187077;5
7911761;1;1;1;83.255312539;4
7911761;2;1;2;83.255312539;5
7911789;1;1;1;383.23404194;3
7911789;2;1;2;383.23404194;4
7911789;1;1;1;383.23404194;3
7911789;2;1;2;383.23404194;4
7911841;1;1;1;13.082882723;3
7911841;1;1;1;13.082882723;3
7911842;1;1;1;222.94850551;3
7911842;2;1;2;222.94850551;4
7911842;1;1;1;222.94850551;3
